post_time,content
2020-01-26, 春節 武漢 新型 肺炎 影響 全球 產業 供應 春節 陸海 城市 工廠 封城法 開工 影響 全球 產業 供應 利空 BRBR 武漢 肺炎 疫情 廣東省 汕頭市 宣布 封城 BR 聯合報 汪莉絹 報導 BR 武漢 肺炎 疫情 升高 武漢湖 北十城市 封閉 交通 廣東汕頭市 肺炎 疫情 防控 指揮 部日 公布 汕頭日 封城 禁止 車輛 船隻 汕頭市 BR 澎湃 新聞 報導 汕頭市 發布 新型 冠狀 病毒 感染 肺炎 疫情 防控 指揮部 實施 交通制 通告 BR 月日 汕頭 營運 客車 城市 公交 計程車 巡遊 網約 風車 輪渡 暫停 營運 BR 月日 禁止 車輛 船隻 汕頭市 特物資 保障 外途 汕頭市 轄區 高速 公路 主線 通行 BR 月日 汕頭 市域區 縣間 通道 關閉 金平龍湖 間外 期間 通行 BR 月日 汕頭 火車站 潮陽 火車站 汕頭員 排查 甄勸 恢復 時間 行通
2020-01-27, 武漢 疫觀 產業 武漢 肺炎 封城 擊觀 產業 BR 國家 輕重 工業 外銷 產業 BR 封城家 工廠 原料 供應 全斷法 生產 BR 生產法 運輸 港口 作業 停頓 船舶 停運 BR 民生 物資 石油 首民樣 肚子 BR 陸雪 凍死 取暖 死亡率 武漢 肺炎 BR 中央 發佈 封城 預估 禮拜 餓死 病死 凍死 BR 百萬
2020-01-30, 美食 ky度C 美國 急速 展店 歐印 擔心 防線 防線 BR 主力 外資 年月堆 分析師 台股 重回 BR 顧雄 BR 天天 中美 貿易戰 香港 反送 終鎮 香港 死少 BR 證明 台灣 喜歡 困幻 牢籠 BR 超跌 股票 太陽 明天樣 太陽
2020-02-04, 美股 嘉年華 全球 郵輪 集團 進場 時機 全球 郵輪 集團 嘉年華 Carnival 受害 股價 挫股 價相 低位 BRCarnival 旅遊目 加勒 海區 中國 亞洲 市場 成長 動源 BR 船隻 擴充 載客 量達 規模 Carnival 計畫 新船 啟航 取代 現舊 船隻 BR亞州 疫情 嚴峻 投資 信心 長期 投資 疫情 情勢 平緩舊 參考 股息股 股息 BR 總營收 美元 持續 增長 毛利 營運 成變動 收益 船票 郵輪 消費 旅遊 行程 BRCarnival 價式 採變 動式 訂價 價格 季節 需求 變化 航程 開放 訂位 時間 Carnival 做艙 位理 適時 票價 變動 BR 品牌 規模濟 品牌 消費客 價錢 提供 服務足 消費 BR 持續 關注 嘉年華 Carnival 美股 代號 CCL 股價 BR 詳細 資訊 httpswwwsamchoulovecomusstocksccl
2020-02-07, 台股派 結束 百萬 陽明 陽明 工作 vs 口罩 vs 武漢 肺炎
2020-02-08, 益樂迪 影響 台灣 重疫情家 心情 影響 BR 中國 境外 東北亞 速率 台灣 民眾 BRBR 武漢 肺炎日 鑽石 公主號 感染 例船 防疫 壓力 BR 累積 例確 案例 篩檢 篩檢 BR 鑽石 公主號 爆發 群聚 感染 病毒 檢測 日日 檢測力 送檢 BR 停泊 橫濱 鑽石 公主號 郵輪 驚爆 群聚 感染 政府 名員 留船 香港船 確診 接觸 發燒 症狀 病毒 檢測 確診 送醫 數員 留船 觀察 日什 乾脆 病毒 檢測 BR 實厚生 勞動 檢測名 鑽石 公主 號員 許天 分批 公布 檢查 隱約 新型 冠狀 病毒 檢測力 足日濟 新聞 檢疫 新型 冠狀 病毒 PCR 檢測 聚合 酶鏈 檢測 象喉部 粘液 取樣 日國 感染症 研究 衛生 研究 確認 病毒 BR PCR 檢測日 天實 PCR 檢測 realtime PCR 普化 感染 病毒 全日 檢測點 天件 檢體 鑽石 公主 號員 檢體 橫濱周 檢測 點件 負荷 分數 天知 檢測 採集 檢體 驗天 觀察期 結束 檢測 BRBR 厚勞省 官員果 檢測 象度 增加 檢測力 治療 重症 耽擱 染病 專家 川崎市 健康 研究長 岡部信彥日 檢疫 工作 控制 疫情面 發揮 效果 病毒 檢測象 低度 疑似 檢驗 體制 面限 岡部 病毒 檢測 控制 疫情 蔓延 封鎖 病毒 BRBR 遊客 基隆港北北基 景點 全程 口罩 BR 中央防疫指揮中心 公告 船客 涉足 BR 訊息 警示 武漢 肺炎 疫情 M  PM BRhttpsbitlySpSxeT 健康理 留意 發燒 呼吸道 症狀 疫情 指揮中心 BR 船客 涉足 知名 景點 包括 BR 旅遊點 包括 BR BR 台北市安區 南門市場 BR 台北市直忠烈祠 BR 台北市中山堂 BR 台北市 中正紀念堂 BR 台北市孔廟 BR 台北市廣場 BR 台北市 西門町 BR 台北市忠孝東路段 BR 台北市保安宮 BR 台北市宮博物館 BR 台北市迪化街 BR 台北市陽明山竹子湖 BR 台北市圓山飯店 BR 台北市萬華區 西昌街青草巷 BR 台北市龍山寺 BR 台北車 BR 基隆外木山 BR 基隆市 中正公園 BR 基隆市文化中心 BR 基隆市 仙洞 BR 基隆市 正濱漁港 BR 基隆市 平島 BR 基隆港 BR 基隆廟口 BR 新北市份街 BR 新北市寮 BR 新北市 野柳 BR 新北市 瑞芳區 南雅岩 BR 碧砂漁港 BR 基隆市 調街 BR萬里區 龜吼 BR 基隆市 米甕砲台 BR 台北市 BR BR 武漢 肺炎 服務業 KTV 計畫 薪假 BR 武漢 肺炎 疫情 服務業 寒冬 TV 開槍 計畫 員工 休薪假 台北市 勞動局 尚未 接獲 通報業 疫情 片面 員工 休薪假 通報 查獲 屬實 裁罰 BR 包廂 桌子 麥克風 點歌 觸碰 螢幕 律酒精 擦拭 新北市 侯友宜 視察 KTV 防疫業 保證 清潔 消毒希 民眾 安心 唱歌 挽救 業績 BR 首長 視察 完業 門口 公告 說應 市場 緊縮 月日 調整 營業 時段 武漢 肺炎 疫情 KTV 密閉 空間 受災 台北市 包括 樂迪 錢櫃星 聚點 娛樂場 減少業 撐住 計畫 員工 薪假 BR 台北市 勞動局 勞動 基準 科長 陳昆鴻 電話 詢問 呼籲 雇主 薪假法語 雇主 片面 實施 薪假果 景氣素 勞工 協商 減少 工時 勞動部 縮短 工時 BR 北市 勞動局 接通 報業 偷偷 呼籲 雇主 疫情 作理 員工 薪假 勞工 協商 通報 勞政 機關 超月 工資 BR 台北市 勞動局 勞動 基準 科長 陳昆鴻 果樣 程序 雇主 片面 公告 客數 減少 樣仁 回家 薪假 勞基 法規 裁處 新台幣 萬萬 BR 勞動局 主動 稽查 相關業 員工 薪資 班資 薪假 影響 勞工 收入 生計
2020-02-08, 封鎖戰 物資 防疫 口罩 政府 提倡 口罩 BR 警訊 通知 BR BR 請務主 理天 BR 鑽石 公主 號客 BR 信息 海外 BRBR 旅遊點 包括 BR BR 台北市安區 南門市場 BR 台北市直忠烈祠 BR 台北市 中山堂 BR 台北市中正紀念堂 BR 台北市孔廟 BR 台北市 廣場 BR 台北市西門町 BR 台北市忠孝東路段 BR 台北市保安宮 BR 台北市宮 博物 BR 台北市迪化街 BR 台北市陽明山竹子湖 BR 台北市圓山飯店 BR 台北市萬華區 西昌街青草巷 BR 台北市龍山寺 BR 台北車站 BR 基隆外木山 BR 基隆市中正公園 BR 基隆市文化中心 BR 基隆市仙洞 BR 基隆市正濱漁港BR基隆市平島 BR 基隆平島 BR 基隆港 BR 基隆廟口 BR 新北市份街 BR 新北市寮 BR 新北市野柳 BR 新北市瑞芳區 南雅岩 碧砂 漁港 BR 基隆市 調街 BR 萬里區 龜吼 BR 基隆市 米甕 砲台 BR 台北市 BR 擔心 BR 口罩 霉樣
2020-02-12, 武漢 肺炎 樣麻 跌點 放空 十萬 現賠塊 真點 災難 美國 股市 新高 收盤 創史 新高 慶祝 武漢 肺炎 陽明 口罩 百萬 武漢 肺炎 BRBR 年天 開盤 跌頭 BR 中美 關稅
2020-02-13, OPEC 決策 癱瘓 國際 油價 易跌 Bloomberg 投資源股 參考 httpsmoneyudncommoneystoryBROPEC 決策 癱瘓 國際 油價 Bloomberg 投資源股 參考 BR 紐約西德州 原油 期貨 破桶 美元 關時正 石油 輸國 組織 夥伴國 OPEC 凝聚 力量 新冠 肺炎 武漢 肺炎 原油 需求 際國 爭議 休導 決策 陷入 停頓 彭博資訊源 專欄 朱利安 李Julian Lee OPEC 答案 時晚 延伸 閱讀員 專屬工 工船 新冠 肺炎 爆發 重傷 海運業 BR 周前 沙烏拉伯 推動 OPEC 提前 緊急 議意 擴減 阻擋 武漢 肺炎 引發 油價 跌勢 俄羅斯 意需 時間 評估 石油 需求 受擊 期間 OPEC 聯合 技術 委員 開天 建議 OPEC 年季天 擴減 BR 建議 躺桌 俄羅斯天 答覆 世界 國源 部長 未意 緊急 時間 緊急 議性 OPEC 意義 OPEC 擴減 產否 油價 BR 武漢 肺炎 疫情 擴散 中國 原油 胃口 枯竭 pler 情報 公司數 顯示 元月日 周陸 平天 進口 原油 元月 減少 中國 源業界士 肺炎 疫情 原油 需求 減少 中國 煉油 業天 原油量 減少 BR 市場 專家 降低 全球 原油 需求 預估 角度公司 陸季 原油 需求 預估 預估 全球 消費量 成長 石油 預測 機構 需求展 BR果OPEC 擴減 中國 情況 中國 波斯灣 油國 供桶 油價 美元 計算 流失 總金額 美元 波灣 油國 周利亞 恢復 石油 油市 增加 BROPEC 設法 拉高 油價 徒勞 功元月 布蘭特 油價 美元 元月 OPEC 呼籲 緊急 油價 美元 波動 OPEC 聯合 技術 委員議 緊急 油價 美元 周果 中國 減少 進口 利亞 恢復 油價 BR 坦說 OPEC 成員 中力 減產 保價 國家 沙烏拉伯拉伯 聯合 公國科威特 國家 減產 協陽 OPECOPEC 場面 拉控 油市 需力
2020-02-15, 武漢 肺炎 久柯 專業 判斷 武漢 肺炎 COVID 新型 冠狀 病毒 疫情 持續 蔓延 中國境 爆確 診案例 死亡案 台灣 確診案 穩例 疏忽 防疫 工作波 疫情 延燒 醫師 台北 市長 柯文哲 日席 陽明山 花季 開幕式 接受 媒體 聯訪 專業意 BRBR 柯文哲 陽明山 花季 開幕 柯文哲 詢問 武漢 肺炎 疫情觀 旅遊 柯文哲 直言 台灣 社區 感染 心理 層面 威脅 實質 意義 追問 疫情 結束 柯文哲 坦言 專業意月 BRBRBR 暑假 疫情 結束 台灣 股市 發生
